Postal Code,EV Count,City,State,Vehicle Location,Longitude,Latitude,Cluster
98031,1382,Kent,WA,POINT (-122.17743 47.41185),-122.17743,47.41185,0
98031,1382,Renton,WA,POINT (-122.17743 47.41185),-122.17743,47.41185,0
98682,1382,Vancouver,WA,POINT (-122.55149 45.69345),-122.55149,45.69345,0
98403,212,Tacoma,WA,POINT (-122.46037 47.26455),-122.46037,47.26455,1
98360,211,Orting,WA,POINT (-122.20166 47.09596),-122.20166,47.09596,1
99202,210,Spokane,WA,POINT (-117.3797 47.65548),-117.3797,47.65548,1
98052,5730,Redmond,WA,POINT (-122.13158 47.67858),-122.13158,47.67858,2
98052,5730,Woodinville,WA,POINT (-122.13158 47.67858),-122.13158,47.67858,2
98052,5730,Kirkland,WA,POINT (-122.13158 47.67858),-122.13158,47.67858,2
98103,2688,Seattle,WA,POINT (-122.35436 47.67596),-122.35436,47.67596,3
98075,2626,Sammamish,WA,POINT (-122.03539 47.61344),-122.03539,47.61344,3
98075,2626,Issaquah,WA,POINT (-122.03539 47.61344),-122.03539,47.61344,3
98277,657,Oak Harbor,WA,POINT (-122.64682 48.29077),-122.64682,48.29077,4
98204,641,Everett,WA,POINT (-122.27557 47.88936),-122.27557,47.88936,4
98506,639,Olympia,WA,POINT (-122.87741 47.05997),-122.87741,47.05997,4
